Officer-defined ethnicity,Age range,Object of search,Outcome,count
Other,18-24,Stolen goods,A no further action disposal,359
Other,18-24,Stolen goods,Arrest,92
Other,18-24,Stolen goods,Community resolution,17
Other,18-24,Stolen goods,Penalty Notice for Disorder,12
Other,18-24,Stolen goods,Summons / charged by post,5
Other,25-34,Anything to threaten or harm anyone,A no further action disposal,54
Other,25-34,Anything to threaten or harm anyone,Arrest,4
Other,25-34,Anything to threaten or harm anyone,Community resolution,2
Other,25-34,Articles for use in criminal damage,A no further action disposal,6
Other,25-34,Articles for use in criminal damage,Arrest,1
Other,25-34,Controlled drugs,A no further action disposal,1564
Other,25-34,Controlled drugs,Arrest,232
Other,25-34,Controlled drugs,Caution (simple or conditional),1
Other,25-34,Controlled drugs,Community resolution,300
Other,25-34,Controlled drugs,Penalty Notice for Disorder,98
Other,25-34,Controlled drugs,Summons / charged by post,38
Other,25-34,Evidence of offences under the Act,A no further action disposal,102
Other,25-34,Evidence of offences under the Act,Arrest,21
Other,25-34,Evidence of offences under the Act,Community resolution,7
Other,25-34,Evidence of offences under the Act,Penalty Notice for Disorder,1
Other,25-34,Evidence of offences under the Act,Summons / charged by post,1
Other,25-34,Firearms,A no further action disposal,11
Other,25-34,Firearms,Arrest,2
Other,25-34,Firearms,Penalty Notice for Disorder,1
Other,25-34,Fireworks,A no further action disposal,5
Other,25-34,Fireworks,Arrest,1
Other,25-34,Offensive weapons,A no further action disposal,291
Other,25-34,Offensive weapons,Arrest,53
Other,25-34,Offensive weapons,Community resolution,22
Other,25-34,Offensive weapons,Penalty Notice for Disorder,6
Other,25-34,Offensive weapons,Summons / charged by post,1
Other,25-34,Stolen goods,A no further action disposal,271
Other,25-34,Stolen goods,Arrest,91
Other,25-34,Stolen goods,Community resolution,12
Other,25-34,Stolen goods,Penalty Notice for Disorder,5
Other,25-34,Stolen goods,Summons / charged by post,5
Other,over 34,Anything to threaten or harm anyone,A no further action disposal,17
Other,over 34,Articles for use in criminal damage,A no further action disposal,2
Other,over 34,Articles for use in criminal damage,Arrest,1
Other,over 34,Controlled drugs,A no further action disposal,684
Other,over 34,Controlled drugs,Arrest,105
Other,over 34,Controlled drugs,Community resolution,100
Other,over 34,Controlled drugs,Penalty Notice for Disorder,22
Other,over 34,Controlled drugs,Summons / charged by post,8
Other,over 34,Evidence of offences under the Act,A no further action disposal,88
Other,over 34,Evidence of offences under the Act,Arrest,23
Other,over 34,Evidence of offences under the Act,Community resolution,2
Other,over 34,Firearms,A no further action disposal,5
Other,over 34,Firearms,Arrest,3
Other,over 34,Firearms,Penalty Notice for Disorder,2
Other,over 34,Offensive weapons,A no further action disposal,122
Other,over 34,Offensive weapons,Arrest,42
Other,over 34,Offensive weapons,Community resolution,5
Other,over 34,Offensive weapons,Penalty Notice for Disorder,1
Other,over 34,Offensive weapons,Summons / charged by post,1
Other,over 34,Stolen goods,A no further action disposal,175
Other,over 34,Stolen goods,Arrest,56
Other,over 34,Stolen goods,Caution (simple or conditional),1
Other,over 34,Stolen goods,Community resolution,8
Other,over 34,Stolen goods,Penalty Notice for Disorder,3
Other,over 34,Stolen goods,Summons / charged by post,1
Other,under 10,Controlled drugs,A no further action disposal,4
Other,under 10,Controlled drugs,Community resolution,2
Other,under 10,Evidence of offences under the Act,A no further action disposal,1
Other,under 10,Offensive weapons,A no further action disposal,1
Other,under 10,Stolen goods,A no further action disposal,1
White,10-17,Anything to threaten or harm anyone,A no further action disposal,366
White,10-17,Anything to threaten or harm anyone,Arrest,13
White,10-17,Anything to threaten or harm anyone,Caution (simple or conditional),1
White,10-17,Anything to threaten or harm anyone,Community resolution,3
White,10-17,Anything to threaten or harm anyone,Penalty Notice for Disorder,1
White,10-17,Anything to threaten or harm anyone,Summons / charged by post,6
White,10-17,Articles for use in criminal damage,A no further action disposal,261
White,10-17,Articles for use in criminal damage,Arrest,21
White,10-17,Articles for use in criminal damage,Community resolution,8
White,10-17,Articles for use in criminal damage,Summons / charged by post,1
White,10-17,Controlled drugs,A no further action disposal,8161
White,10-17,Controlled drugs,Arrest,759
White,10-17,Controlled drugs,Caution (simple or conditional),43
White,10-17,Controlled drugs,Community resolution,377
White,10-17,Controlled drugs,Penalty Notice for Disorder,23
White,10-17,Controlled drugs,Summons / charged by post,270
White,10-17,Evidence of offences under the Act,A no further action disposal,1211
White,10-17,Evidence of offences under the Act,Arrest,177
White,10-17,Evidence of offences under the Act,Community resolution,16
White,10-17,Evidence of offences under the Act,Penalty Notice for Disorder,4
White,10-17,Evidence of offences under the Act,Summons / charged by post,9
White,10-17,Firearms,A no further action disposal,38
White,10-17,Firearms,Arrest,8
White,10-17,Firearms,Community resolution,1
White,10-17,Fireworks,A no further action disposal,228
White,10-17,Fireworks,Arrest,5
White,10-17,Fireworks,Community resolution,10
White,10-17,Fireworks,Penalty Notice for Disorder,1
White,10-17,Fireworks,Summons / charged by post,2
White,10-17,Offensive weapons,A no further action disposal,3357
White,10-17,Offensive weapons,Arrest,407
White,10-17,Offensive weapons,Caution (simple or conditional),2
White,10-17,Offensive weapons,Community resolution,28
White,10-17,Offensive weapons,Penalty Notice for Disorder,7
White,10-17,Offensive weapons,Summons / charged by post,26
White,10-17,Stolen goods,A no further action disposal,2651
White,10-17,Stolen goods,Arrest,427
White,10-17,Stolen goods,Caution (simple or conditional),2
White,10-17,Stolen goods,Community resolution,59
White,10-17,Stolen goods,Penalty Notice for Disorder,14
White,10-17,Stolen goods,Summons / charged by post,23
White,18-24,Anything to threaten or harm anyone,A no further action disposal,584
White,18-24,Anything to threaten or harm anyone,Arrest,21
White,18-24,Anything to threaten or harm anyone,Community resolution,38
White,18-24,Anything to threaten or harm anyone,Penalty Notice for Disorder,12
White,18-24,Anything to threaten or harm anyone,Summons / charged by post,4
White,18-24,Articles for use in criminal damage,A no further action disposal,106
White,18-24,Articles for use in criminal damage,Arrest,34
White,18-24,Articles for use in criminal damage,Community resolution,11
White,18-24,Articles for use in criminal damage,Penalty Notice for Disorder,7
White,18-24,Articles for use in criminal damage,Summons / charged by post,5
White,18-24,Controlled drugs,A no further action disposal,18144
White,18-24,Controlled drugs,Arrest,1941
White,18-24,Controlled drugs,Caution (simple or conditional),25
White,18-24,Controlled drugs,Community resolution,4514
White,18-24,Controlled drugs,Penalty Notice for Disorder,1015
White,18-24,Controlled drugs,Summons / charged by post,310
White,18-24,Evidence of offences under the Act,A no further action disposal,1392
White,18-24,Evidence of offences under the Act,Arrest,231
White,18-24,Evidence of offences under the Act,Community resolution,71
White,18-24,Evidence of offences under the Act,Penalty Notice for Disorder,30
White,18-24,Evidence of offences under the Act,Summons / charged by post,12
White,18-24,Firearms,A no further action disposal,64
White,18-24,Firearms,Arrest,26
White,18-24,Firearms,Penalty Notice for Disorder,2
White,18-24,Firearms,Summons / charged by post,1
White,18-24,Fireworks,A no further action disposal,69
White,18-24,Fireworks,Arrest,1
White,18-24,Fireworks,Community resolution,6
White,18-24,Fireworks,Penalty Notice for Disorder,3
White,18-24,Fireworks,Summons / charged by post,1
White,18-24,Offensive weapons,A no further action disposal,3175
White,18-24,Offensive weapons,Arrest,495
White,18-24,Offensive weapons,Community resolution,148
White,18-24,Offensive weapons,Penalty Notice for Disorder,78
White,18-24,Offensive weapons,Summons / charged by post,17
White,18-24,Stolen goods,A no further action disposal,2845
White,18-24,Stolen goods,Arrest,551
White,18-24,Stolen goods,Caution (simple or conditional),1
White,18-24,Stolen goods,Community resolution,183
White,18-24,Stolen goods,Penalty Notice for Disorder,96
White,18-24,Stolen goods,Summons / charged by post,41
White,25-34,Anything to threaten or harm anyone,A no further action disposal,341
White,25-34,Anything to threaten or harm anyone,Arrest,26
White,25-34,Anything to threaten or harm anyone,Community resolution,12
White,25-34,Anything to threaten or harm anyone,Penalty Notice for Disorder,3
White,25-34,Anything to threaten or harm anyone,Summons / charged by post,1
White,25-34,Articles for use in criminal damage,A no further action disposal,85
White,25-34,Articles for use in criminal damage,Arrest,41
White,25-34,Articles for use in criminal damage,Community resolution,6
White,25-34,Articles for use in criminal damage,Penalty Notice for Disorder,3
White,25-34,Articles for use in criminal damage,Summons / charged by post,2
White,25-34,Controlled drugs,A no further action disposal,13679
White,25-34,Controlled drugs,Arrest,2383
White,25-34,Controlled drugs,Caution (simple or conditional),8
White,25-34,Controlled drugs,Community resolution,2686
White,25-34,Controlled drugs,Penalty Notice for Disorder,694
White,25-34,Controlled drugs,Summons / charged by post,277
White,25-34,Evidence of offences under the Act,A no further action disposal,1582
White,25-34,Evidence of offences under the Act,Arrest,384
White,25-34,Evidence of offences under the Act,Caution (simple or conditional),1
White,25-34,Evidence of offences under the Act,Community resolution,53
White,25-34,Evidence of offences under the Act,Penalty Notice for Disorder,21
White,25-34,Evidence of offences under the Act,Summons / charged by post,12
